         i                j             k               h               T              conc               kz     lz     por 
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8461560000E-02  8.5719887000E-13  3.E+00  1.E-01
   154  1.5300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9856979000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8530740000E-02  8.5719887000E-13  3.E+00  1.E-01
   156  1.5500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9861944000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8596704000E-02  8.5719887000E-13  3.E+00  1.E-01
   158  1.5700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9866658000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8659600000E-02  8.5719887000E-13  3.E+00  1.E-01
   160  1.5900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9871134000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8719567000E-02  8.5719887000E-13  3.E+00  1.E-01
   162  1.6100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9875384000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8776740000E-02  8.5719887000E-13  3.E+00  1.E-01
   164  1.6300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9879421000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8831247000E-02  8.5719887000E-13  3.E+00  1.E-01
   166  1.6500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9883255000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8883211000E-02  8.5719887000E-13  3.E+00  1.E-01
   168  1.6700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9886896000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8932750000E-02  8.5719887000E-13  3.E+00  1.E-01
   170  1.6900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9890355000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.8979975000E-02  8.5719887000E-13  3.E+00  1.E-01
   172  1.7100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9893642000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9024993000E-02  8.5719887000E-13  3.E+00  1.E-01
   174  1.7300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9896764000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9067907000E-02  8.5719887000E-13  3.E+00  1.E-01
   176  1.7500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9899730000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9108815000E-02  8.5719887000E-13  3.E+00  1.E-01
   178  1.7700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9902549000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9147808000E-02  8.5719887000E-13  3.E+00  1.E-01
   180  1.7900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9905228000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9184978000E-02  8.5719887000E-13  3.E+00  1.E-01
   182  1.8100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9907773000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9220407000E-02  8.5719887000E-13  3.E+00  1.E-01
   184  1.8300000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9910192000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9254178000E-02  8.5719887000E-13  3.E+00  1.E-01
   186  1.8500000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9912491000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9286367000E-02  8.5719887000E-13  3.E+00  1.E-01
   188  1.8700000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9914677000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9317049000E-02  8.5719887000E-13  3.E+00  1.E-01
   190  1.8900000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9916754000E-02  2.4612355000E-12  3.E+00  1.E-01
             10             16              1  1.0432577000E+01  1.0000000000E+01  7.9346293000E-02  8.5719887000E-13  3.E+00  1.E-01
   192  1.9100000000E+01     2     0   0   1   0   0   0
             22             16              1  1.0527492000E+01  1.0000000000E+01  7.9918729000E-02  2.4612355000E-12  3.E+00  1.E-01
