% Shemat-Suite version: Shem-FW/AD/SM 7.50 (Smarty)                                                     
%          build: Do 18. Apr 09:27:33 CEST 2019           
%   build command line: gmake fw nohdf PROPS=basc COMPTYPE=ling64                                                                                                                                                                                                                       
%        Project: "salt_small"
%
% <time step> <deltat> <cum time>
%    <iteration> <delta head> <delta temp> (<delta conc> ...)
          5 -0.59653615E-09  0.10000000E-20 -0.28006764E-12
          6 -0.17146249E-08  0.10000000E-20 -0.36914916E-13
          7  0.17257875E-08  0.10000000E-20 -0.36678993E-13
      16  0.388800E+05  0.730000E+01
          1  0.15891644E-08  0.10000000E-20 -0.47789144E-02
          2  0.18058259E-03  0.10000000E-20 -0.75564443E-05
          3  0.27623698E-06  0.10000000E-20 -0.16289931E-07
          4 -0.42564920E-08  0.10000000E-20 -0.54351509E-10
          5 -0.19898039E-08  0.10000000E-20 -0.17610913E-12
          6  0.31604515E-08  0.10000000E-20  0.45338733E-13
          7  0.27244340E-09  0.10000000E-20  0.33584246E-13
          8 -0.47278519E-08  0.10000000E-20 -0.37955750E-13
          9  0.58932272E-08  0.10000000E-20  0.44506065E-13
         10 -0.46099018E-08  0.10000000E-20 -0.32598924E-13
         11 -0.11251373E-08  0.10000000E-20 -0.39995784E-13
         12  0.10173217E-07  0.10000000E-20  0.31780134E-13
         13 -0.83531049E-08  0.10000000E-20 -0.43492987E-13
         14  0.14714132E-08  0.10000000E-20  0.39024339E-13
         15 -0.72308382E-09  0.10000000E-20  0.33306691E-13
         16  0.53013025E-08  0.10000000E-20 -0.40759063E-13
         17 -0.78999349E-08  0.10000000E-20 -0.42438275E-13
         18  0.54787037E-08  0.10000000E-20 -0.45685677E-13
         19 -0.24605384E-08  0.10000000E-20 -0.38760661E-13
         20 -0.13148593E-09  0.10000000E-20  0.40883963E-13
         21  0.27201068E-08  0.10000000E-20 -0.47170601E-13
      17  0.388800E+05  0.775000E+01
          1 -0.15926815E-08  0.10000000E-20 -0.42176670E-02
          2  0.16181493E-03  0.10000000E-20 -0.61509317E-05
          3  0.22653357E-06  0.10000000E-20 -0.12551231E-07
          4 -0.34831373E-08  0.10000000E-20 -0.37513367E-10
          5 -0.13060486E-09  0.10000000E-20 -0.10776102E-12
          6  0.32949643E-08  0.10000000E-20 -0.37331249E-13
          7 -0.38811123E-08  0.10000000E-20  0.34153236E-13
          8  0.43129731E-08  0.10000000E-20 -0.41688875E-13
          9  0.14136319E-08  0.10000000E-20  0.36803893E-13
         10 -0.71677917E-08  0.10000000E-20 -0.41286419E-13
         11  0.30410163E-08  0.10000000E-20 -0.40245585E-13
         12 -0.11604584E-08  0.10000000E-20 -0.36456949E-13
         13  0.15809647E-08  0.10000000E-20  0.45477511E-13
         14  0.70920692E-09  0.10000000E-20 -0.38871684E-13
         15  0.13874768E-09  0.10000000E-20 -0.42202353E-13
         16 -0.44390731E-08  0.10000000E-20 -0.29309888E-13
         17  0.20260345E-08  0.10000000E-20 -0.39732106E-13
         18 -0.29683633E-09  0.10000000E-20 -0.38399839E-13
         19  0.68752115E-08  0.10000000E-20  0.34305891E-13
         20 -0.69059425E-08  0.10000000E-20 -0.38039016E-13
         21  0.44714952E-08  0.10000000E-20  0.22926105E-13
         22 -0.25977371E-08  0.10000000E-20  0.34930392E-13
         23  0.44099124E-09  0.10000000E-20 -0.40800696E-13
         24 -0.41551118E-08  0.10000000E-20  0.39648840E-13
         25  0.23111539E-08  0.10000000E-20 -0.33834047E-13
         26 -0.15447910E-09  0.10000000E-20  0.35554892E-13
         27  0.51568776E-08  0.10000000E-20 -0.35693670E-13
         28 -0.38904915E-08  0.10000000E-20 -0.31419312E-13
         29 -0.54251785E-08  0.10000000E-20  0.32335246E-13
         30  0.73293620E-08  0.10000000E-20  0.31780134E-13
         31 -0.40443098E-08  0.10000000E-20  0.39093728E-13
         32  0.87882768E-09  0.10000000E-20 -0.37789216E-13
      18  0.388800E+05  0.820000E+01
          1 -0.17381012E-08  0.10000000E-20 -0.37355734E-02
          2  0.14518012E-03  0.10000000E-20 -0.50204603E-05
          3  0.17869389E-06  0.10000000E-20 -0.96750426E-08
          4  0.46629012E-08  0.10000000E-20 -0.26038852E-10
          5  0.18425865E-08  0.10000000E-20 -0.64608041E-13
          6 -0.80294811E-08  0.10000000E-20 -0.48877569E-13
          7  0.18015811E-09  0.10000000E-20  0.39093728E-13
          8  0.42852832E-09  0.10000000E-20 -0.35582648E-13
          9  0.20035316E-08  0.10000000E-20  0.30128677E-13
         10 -0.29517366E-09  0.10000000E-20 -0.39968029E-13
         11 -0.71443651E-09  0.10000000E-20  0.28005376E-13
         12 -0.74449247E-08  0.10000000E-20  0.49751869E-13
         13  0.64791053E-08  0.10000000E-20  0.55830340E-13
         14  0.15463826E-08  0.10000000E-20 -0.35402237E-13
         15 -0.18692887E-08  0.10000000E-20  0.31849523E-13
         16 -0.12811228E-08  0.10000000E-20  0.40550896E-13
         17  0.20114612E-08  0.10000000E-20 -0.34847125E-13
         18 -0.35897756E-08  0.10000000E-20 -0.32723824E-13
         19  0.63173786E-08  0.10000000E-20  0.37109205E-13
         20 -0.14597035E-08  0.10000000E-20 -0.49946158E-13
         21  0.20110278E-08  0.10000000E-20  0.55691562E-13
         22 -0.47360018E-08  0.10000000E-20 -0.36408376E-13
         23  0.59586824E-09  0.10000000E-20 -0.33958947E-13
         24 -0.15787691E-08  0.10000000E-20  0.43465231E-13
         25  0.25853453E-08  0.10000000E-20  0.30725422E-13
         26 -0.15875514E-08  0.10000000E-20  0.42674198E-13
         27  0.24414533E-08  0.10000000E-20 -0.28754776E-13
         28 -0.86996721E-09  0.10000000E-20 -0.30073166E-13
      19  0.388800E+05  0.865000E+01
          1 -0.36712677E-08  0.10000000E-20 -0.33187395E-02
          2  0.13040082E-03  0.10000000E-20 -0.41090859E-05
          3  0.14555704E-06  0.10000000E-20 -0.74654206E-08
          4  0.27415865E-08  0.10000000E-20 -0.18198207E-10
          5 -0.31637413E-08  0.10000000E-20 -0.69000361E-13
          6  0.44533479E-08  0.10000000E-20  0.38032077E-13
          7 -0.43155808E-08  0.10000000E-20  0.30822567E-13
      20  0.388800E+05  0.910000E+01
          1  0.21799949E-08  0.10000000E-20 -0.29563024E-02
          2  0.11723882E-03  0.10000000E-20 -0.33724770E-05
          3  0.11938394E-06  0.10000000E-20 -0.57686484E-08
          4 -0.31227643E-09  0.10000000E-20 -0.12856466E-10
          5 -0.12889316E-08  0.10000000E-20  0.35582648E-13
          6 -0.14263506E-08  0.10000000E-20  0.31058489E-13
          7  0.27280720E-08  0.10000000E-20  0.31363800E-13
          8 -0.13020056E-08  0.10000000E-20 -0.32987502E-13
          9 -0.18555468E-08  0.10000000E-20  0.26284530E-13
         10  0.27301965E-08  0.10000000E-20  0.46906923E-13
         11 -0.17317348E-08  0.10000000E-20  0.32709946E-13
         12  0.27293794E-08  0.10000000E-20 -0.29032332E-13
         13 -0.10153443E-08  0.10000000E-20 -0.38469228E-13
         14  0.29111646E-09  0.10000000E-20  0.31877279E-13
