%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.385000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18821160E+02   0.20000000E+02   0.18653558E+00   0.00000000E+00   0.00000000E+00   0.46786303E-06  -0.88043429E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.385000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19301792E+02   0.20000000E+02   0.19125058E+00   0.00000000E+00   0.00000000E+00   0.22946273E-06  -0.48153433E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.385000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19753176E+02   0.20000000E+02   0.19567866E+00   0.00000000E+00   0.00000000E+00   0.77392158E-07  -0.58760676E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.385000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19991287E+02   0.20000000E+02   0.19801452E+00   0.00000000E+00   0.00000000E+00   0.37666299E-08  -0.13243806E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.420000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18385447E+02   0.20000000E+02   0.18226124E+00   0.00000000E+00   0.00000000E+00   0.79049108E-06  -0.18532615E-14   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.420000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18785296E+02   0.20000000E+02   0.18618376E+00   0.00000000E+00   0.00000000E+00   0.46929410E-06  -0.11157210E-14   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.420000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19268819E+02   0.20000000E+02   0.19092711E+00   0.00000000E+00   0.00000000E+00   0.23190758E-06  -0.33109515E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.420000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19730351E+02   0.20000000E+02   0.19545474E+00   0.00000000E+00   0.00000000E+00   0.80715333E-07  -0.51685696E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.420000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19988864E+02   0.20000000E+02   0.19799076E+00   0.00000000E+00   0.00000000E+00   0.45034092E-08  -0.12023982E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.455000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18351827E+02   0.20000000E+02   0.18193142E+00   0.00000000E+00   0.00000000E+00   0.79123255E-06  -0.42814088E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.455000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18752317E+02   0.20000000E+02   0.18586023E+00   0.00000000E+00   0.00000000E+00   0.47049152E-06  -0.35108284E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.455000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19238268E+02   0.20000000E+02   0.19062741E+00   0.00000000E+00   0.00000000E+00   0.23397240E-06  -0.26459730E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.455000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19708521E+02   0.20000000E+02   0.19524059E+00   0.00000000E+00   0.00000000E+00   0.83630366E-07  -0.77180022E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.455000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19986146E+02   0.20000000E+02   0.19796409E+00   0.00000000E+00   0.00000000E+00   0.52665886E-08   0.40602721E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.490000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18320759E+02   0.20000000E+02   0.18162664E+00   0.00000000E+00   0.00000000E+00   0.79186079E-06  -0.78656010E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.490000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18721793E+02   0.20000000E+02   0.18556079E+00   0.00000000E+00   0.00000000E+00   0.47150806E-06  -0.60712395E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.490000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19209814E+02   0.20000000E+02   0.19034828E+00   0.00000000E+00   0.00000000E+00   0.23573874E-06  -0.22326269E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.490000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19687636E+02   0.20000000E+02   0.19503571E+00   0.00000000E+00   0.00000000E+00   0.86203824E-07  -0.57331739E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.490000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19983150E+02   0.20000000E+02   0.19793471E+00   0.00000000E+00   0.00000000E+00   0.60471573E-08   0.17600321E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.525000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18291884E+02   0.20000000E+02   0.18134338E+00   0.00000000E+00   0.00000000E+00   0.79239985E-06   0.15132791E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.525000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18693386E+02   0.20000000E+02   0.18528211E+00   0.00000000E+00   0.00000000E+00   0.47238169E-06   0.24797284E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.525000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19183190E+02   0.20000000E+02   0.19008710E+00   0.00000000E+00   0.00000000E+00   0.23726645E-06  -0.21468907E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.525000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19667639E+02   0.20000000E+02   0.19483954E+00   0.00000000E+00   0.00000000E+00   0.88489557E-07  -0.45412314E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.525000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19979899E+02   0.20000000E+02   0.19790281E+00   0.00000000E+00   0.00000000E+00   0.68375105E-08   0.22305358E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.560000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18264913E+02   0.20000000E+02   0.18107879E+00   0.00000000E+00   0.00000000E+00   0.79286740E-06   0.56007357E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.560000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18666820E+02   0.20000000E+02   0.18502150E+00   0.00000000E+00   0.00000000E+00   0.47314046E-06  -0.33458036E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.560000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19158177E+02   0.20000000E+02   0.18984172E+00   0.00000000E+00   0.00000000E+00   0.23860043E-06  -0.16903279E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.560000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19648474E+02   0.20000000E+02   0.19465153E+00   0.00000000E+00   0.00000000E+00   0.90531302E-07  -0.31488891E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.560000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19976415E+02   0.20000000E+02   0.19786863E+00   0.00000000E+00   0.00000000E+00   0.76313516E-08   0.17426060E-19   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.595000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18239609E+02   0.20000000E+02   0.18083056E+00   0.00000000E+00   0.00000000E+00   0.79327671E-06   0.63761957E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.595000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18641871E+02   0.20000000E+02   0.18477676E+00   0.00000000E+00   0.00000000E+00   0.47380549E-06   0.35791386E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.595000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19134593E+02   0.20000000E+02   0.18961036E+00   0.00000000E+00   0.00000000E+00   0.23977504E-06  -0.15721792E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.595000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19630086E+02   0.20000000E+02   0.19447114E+00   0.00000000E+00   0.00000000E+00   0.92364780E-07  -0.61932219E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.595000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19972719E+02   0.20000000E+02   0.19783238E+00   0.00000000E+00   0.00000000E+00   0.84235503E-08  -0.15683455E-18   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.630000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18215778E+02   0.20000000E+02   0.18059678E+00   0.00000000E+00   0.00000000E+00   0.79363799E-06   0.17333702E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.630000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18618353E+02   0.20000000E+02   0.18454605E+00   0.00000000E+00   0.00000000E+00   0.47439307E-06   0.12076260E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.630000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19112283E+02   0.20000000E+02   0.18939149E+00   0.00000000E+00   0.00000000E+00   0.24081700E-06  -0.24832137E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.630000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19612421E+02   0.20000000E+02   0.19429785E+00   0.00000000E+00   0.00000000E+00   0.94019346E-07  -0.49211195E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.630000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19968836E+02   0.20000000E+02   0.19779428E+00   0.00000000E+00   0.00000000E+00   0.92099859E-08  -0.57506000E-18   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.665000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18193256E+02   0.20000000E+02   0.18037584E+00   0.00000000E+00   0.00000000E+00   0.79395917E-06   0.51011307E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.665000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18596111E+02   0.20000000E+02   0.18432785E+00   0.00000000E+00   0.00000000E+00   0.47491589E-06   0.34803328E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.665000000E+00  0.707500E+03   0.738500E+03   0.100000E+02         1    15    35     1  0.19091117E+02   0.20000000E+02   0.18918385E+00   0.00000000E+00   0.00000000E+00   0.24174737E-06   0.39243489E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.665000000E+00  0.675000E+03   0.738500E+03   0.100000E+02         1    10    35     1  0.19595432E+02   0.20000000E+02   0.19413119E+00   0.00000000E+00   0.00000000E+00   0.95519279E-07  -0.24431337E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.665000000E+00  0.580000E+03   0.738500E+03   0.100000E+02         1     5    35     1  0.19964786E+02   0.20000000E+02   0.19775455E+00   0.00000000E+00   0.00000000E+00   0.99873944E-08  -0.22131097E-17   0.00000000E+00   0.00000000E+00   0.10000000E-11
%
  0.700000000E+00  0.728500E+03   0.738500E+03   0.100000E+02         1    25    35     1  0.18171908E+02   0.20000000E+02   0.18016641E+00   0.00000000E+00   0.00000000E+00   0.79424654E-06  -0.17753671E-15   0.00000000E+00   0.00000000E+00   0.10000000E-11
  0.700000000E+00  0.722000E+03   0.738500E+03   0.100000E+02         1    20    35     1  0.18575012E+02   0.20000000E+02   0.18412087E+00   0.00000000E+00   0.00000000E+00   0.47538404E-06   0.26470187E-16   0.00000000E+00   0.00000000E+00   0.10000000E-11
